%z E^-1(z) err(z) Correlation matrix
0.07 1.007 0.024 +1.00 +0.40 +0.52 +0.35 +0.02 +0.00
0.20 0.898 0.016 +0.40 +1.00 -0.13 +0.35 -0.08 -0.06
0.35 0.893 0.029 +0.52 -0.13 +1.00 -0.18 +0.19 -0.05
0.55 0.732 0.033 +0.35 +0.35 -0.18 +1.00 -0.41 +0.16
0.90 0.652 0.051 +0.02 -0.08 +0.19 -0.41 +1.00 -0.21
1.50 0.337 0.078 +0.00 -0.06 -0.05 +0.16 -0.21 +1.00
